Наименование,Тип,Индекс,Административный округ,Район
Станционная,ул,127276,Северо-Восточный административный округ,район Марфино
Станционная,ул,143391,Северо-Восточный административный округ,район Марфино
Старая,пл,,Центральный административный округ,Тверской район
Старая Басманная,ул,,Центральный административный округ,Басманный район
Старо-Петровско-Разумовский,проезд,127287,Центральный административный округ,Тверской район
Староалексеевская,ул,129626,Северо-Восточный административный округ,Алексеевский район
Старобитцевская,ул,117628,Юго-Западный административный округ,район Северное Бутово
Староваганьковский,пер,119019,Центральный административный округ,район Арбат
Староватутинский,проезд,129281,Северо-Восточный административный округ,Бабушкинский район
Староволынская,ул,,Западный административный округ,район Фили-Давыдково
Старогавриковская,ул,117042,Центральный административный округ,Тверской район
Староданиловский Б.,пер,115191,Южный административный округ,Даниловский район
Стародачная,ул,142150,Центральный административный округ,Тверской район
Старокалужское,ш,117630,Юго-Западный административный округ,Обручевский район
Старокачаловская,ул,,Юго-Западный административный округ,район Северное Бутово
Старокаширское,ш,115201,Южный административный округ,район Нагатино-Садовники
Старокирочный,пер,105005,Центральный административный округ,Басманный район
Староконюшенный,пер,,Центральный административный округ,район Хамовники
Старокоптевский,пер,125239,Северный административный округ,район Коптево
Старокрымская,ул,117624,Юго-Западный административный округ,район Южное Бутово
Старокрюковский,проезд,124527,Зеленоградский административный округ,район Старое Крюково
Старолучанская,ул,121500,Западный административный округ,район Кунцево
Старомарьинское,ш,127521,Северо-Восточный административный округ,район Марьина роща
Староможайское,ш,121352,Западный административный округ,район Фили-Давыдково
Старомонетный,пер,,Центральный административный округ,район Якиманка
Старонародная,ул,117623,Юго-Западный административный округ,район Южное Бутово
Староникольская,ул,117623,Юго-Западный административный округ,район Южное Бутово
Староникольская,ул,143397,Троицкий административный округ ,Первомайское поселение
Старообрядческая,ул,,Юго-Восточный административный округ,Нижегородский район
Староорловская,ул,,Западный административный округ,район Солнцево
Старопанский,пер,109012,Центральный административный округ,Тверской район
Старопетровский,проезд,125130,Северный административный округ,Войковский район
Старопименовский,пер,,Центральный административный округ,Тверской район
Старопотаповская,ул,117042,Юго-Западный административный округ,район Южное Бутово
Старосадский,пер,101000,Центральный административный округ,Басманный район
Старослободская,ул,107113,Восточный административный округ,район Сокольники
Старослободский,пер,107113,Восточный административный округ,район Сокольники
Староспасская,ул,125310,Северо-Западный административный округ,район Митино
Старофилинская,ул,141411,Северный административный округ,Молжаниновский район
Стартовая,ул,129336,Северо-Восточный административный округ,Лосиноостровский район
Старые Кузьминки,ул,109472,Юго-Восточный административный округ,район Выхино-Жулебино
Старый Гай,ул,,Восточный административный округ,район Вешняки
Старый Зыковский,проезд,125167,Северный административный округ,район Аэропорт
Старый Петровско-Разумовский,проезд,,Северный административный округ,Савеловский район
Стасова,ул,142172,Новомосковский административный округ,поселение Щербинка
Стасовой,ул,142172,Новомосковский административный округ,поселение Щербинка
Стасовой,ул,,Южный административный округ,Донской район
Стахановская,ул,109428,Юго-Восточный административный округ,Рязанский район
Степана Разина,ул,143350,Новомосковский административный округ,Марушкинское поселение
Степана Супруна,ул,125167,Северный административный округ,район Аэропорт
Степана Шутова,ул,109380,Юго-Восточный административный округ,район Люблино
Столбовая,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Столбовая,ул,143340,Троицкий административный округ ,Новофедоровское поселение
Столбовая,ул,143381,Троицкий административный округ ,поселение Киевский
Столетова,ул,119192,Западный административный округ,район Раменки
Столешников,пер,,Центральный административный округ,Тверской район
Столовый,пер,121069,Центральный административный округ,Пресненский район
Столярный,пер,,Центральный административный округ,Пресненский район
Сторожевая,ул,111020,Юго-Восточный административный округ,район Лефортово
Страстной,б-р,,Центральный административный округ,Тверской район
Стратонавтов,проезд,125424,Северо-Западный административный округ,район Покровское-Стрешнево
Страховская,ул,107061,Восточный административный округ,район Преображенское
Стрелецкая,ул,127018,Северо-Восточный административный округ,район Марьина роща
Стрельбищенский,пер,123317,Центральный административный округ,Пресненский район
Стремянный,пер,,Центральный административный округ,район Замоскворечье
Строгановский,проезд,111033,Юго-Восточный административный округ,район Лефортово
Строгинский,б-р,123592,Северо-Западный административный округ,район Строгино
Строгинское,ш,123181,Северо-Западный административный округ,район Строгино
Строителей,ул,142791,Новомосковский административный округ,Воскресенское поселение
Строителей,ул,143350,Новомосковский административный округ,Марушкинское поселение
Строителей,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Строителей,ул,143391,Новомосковский административный округ,Марушкинское поселение
Строителей,ул,143340,Троицкий административный округ ,Новофедоровское поселение
Строителей,ул,119311,Юго-Западный административный округ,Гагаринский район
Строителей,ул,143390,Новомосковский административный округ,поселение Кокошкино
Строителей,ул,143396,Троицкий административный округ ,Первомайское поселение
Строительная,ул,142793,Новомосковский административный округ,Десеновское поселение
Строительная,ул,143381,Троицкий административный округ ,поселение Киевский
Строительный,проезд,,Северо-Западный административный округ,район Южное Тушино
Стройковская,ул,109316,Центральный административный округ,Таганский район
Стройкомбината,проезд,119530,Западный административный округ,район Очаково-Матвеевское
Стромынка,ул,,Восточный административный округ,район Сокольники
Стромынский,пер,107076,Восточный административный округ,район Сокольники
Студенецкий,пер,123100,Центральный административный округ,Пресненский район
Студенческая,ул,,Западный административный округ,район Дорогомилово
Студеный,проезд,,Северо-Восточный административный округ,район Северное Медведково
Ступинская,ул,117546,Центральный административный округ,Тверской район
Ступинский,проезд,,Южный административный округ,район Бирюлево Западное
Суворова,ул,142138,Троицкий административный округ ,Щаповское поселение
Суворовская,пл,,Центральный административный округ,Мещанский район
Суворовская,ул,,Восточный административный округ,район Преображенское
Суворовский,парк,121433,Западный административный округ,район Филевский парк
Суворовский 1-й,пер,107023,Восточный административный округ,район Преображенское
Судакова,ул,109382,Юго-Восточный административный округ,район Люблино
Судостроительная,ул,,Южный административный округ,район Нагатинский затон
Суздальская,ул,,Восточный административный округ,район Новокосино
Сумская,ул,,Южный административный округ,район Чертаново Северное
Сумской,проезд,,Южный административный округ,район Чертаново Северное
Сурикова,ул,143390,Новомосковский административный округ,поселение Кокошкино
Сурикова,ул,125080,Северный административный округ,район Сокол
Сурский,проезд,109444,Юго-Восточный административный округ,район Выхино-Жулебино
Сусальный Верхн.,пер,105120,Центральный административный округ,Басманный район
Сусальный Ниж.,пер,105064,Центральный административный округ,Басманный район
Сусоколовское,ш,127106,Северо-Восточный административный округ,Останкинский район
Сухонская,ул,127642,Северо-Восточный административный округ,район Северное Медведково
Сущевская,ул,127055,Центральный административный округ,Тверской район
Сущевский,туп,127055,Центральный административный округ,Тверской район
Сущевский Вал,ул,,Северо-Восточный административный округ,район Марьина роща
Сходненская,ул,125363,Северо-Западный административный округ,район Южное Тушино
Сходненский,проезд,125363,Северо-Западный административный округ,район Южное Тушино
Сходненский,туп,125424,Северо-Западный административный округ,район Покровское-Стрешнево
Счастливая,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Съезжинский,пер,105120,Центральный административный округ,Таганский район
Сыровская,ул,142172,Новомосковский административный округ,поселение Щербинка
Сыромятническая,наб,105120,Центральный административный округ,Басманный район
Сыромятническая Ниж.,ул,105120,Центральный административный округ,Басманный район
Сыромятническая Нов.,ул,105120,Центральный административный округ,Басманный район
Сыромятнический,проезд,105120,Центральный административный округ,Басманный район
Сытинский,пер,123104,Центральный административный округ,Тверской район
Сытинский,туп,123104,Центральный административный округ,Пресненский район
Таганрогская,ул,109386,Юго-Восточный административный округ,район Люблино
Таганская,пл,,Центральный административный округ,Таганский район
Таганская,ул,109147,Центральный административный округ,Таганский район
Таганский Ниж.,туп,109240,Центральный административный округ,Таганский район
Тагильская,ул,107143,Восточный административный округ,район Метрогородок
Таежная,ул,129336,Северо-Восточный административный округ,Лосиноостровский район
Таймырская,ул,129336,Северо-Восточный административный округ,Лосиноостровский район
Тайнинская,ул,129345,Северо-Восточный административный округ,Лосиноостровский район
Талалихина,ул,117623,Центральный административный округ,Таганский район
Талалихина,ул,,Центральный административный округ,Таганский район
Талдомская,ул,,Северный административный округ,район Западное Дегунино
Таллинская,ул,123458,Северо-Западный административный округ,район Строгино
Таманская,ул,123103,Северо-Западный административный округ,район Хорошево-Мневники
Таманская,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Тамбовская,ул,115597,Южный административный округ,район Орехово-Борисово Южное
Тамбовский,проезд,143344,Троицкий административный округ ,Новофедоровское поселение
Таможенный,проезд,111033,Юго-Восточный административный округ,район Лефортово
Танковый,проезд,111033,Юго-Восточный административный округ,район Лефортово
Тараса Шевченко,наб,,Западный административный округ,район Дорогомилово
Тарный,проезд,115516,Южный административный округ,район Царицыно
Тарусская,ул,,Юго-Западный административный округ,район Ясенево
Тарутинская,ул,121108,Западный административный округ,район Фили-Давыдково
Тарханская,ул,109156,Юго-Восточный административный округ,район Выхино-Жулебино
Татарская,ул,,Центральный административный округ,район Замоскворечье
Татищева,ул,,Южный административный округ,Даниловский район
Татьяны Макаровой,ул,111675,Восточный административный округ,район Косино-Ухтомский
Ташкентская,ул,,Юго-Восточный административный округ,район Выхино-Жулебино
Ташкентский,пер,109444,Юго-Восточный административный округ,район Выхино-Жулебино
Твардовского,ул,123458,Северо-Западный административный округ,район Строгино
Тверская,пл,125009,Центральный административный округ,Тверской район
Тверская,ул,,Центральный административный округ,Тверской район
Тверская Застава,пл,125047,Центральный административный округ,Тверской район
Тверская-Ямская 1-я,ул,,Центральный административный округ,Тверской район
Тверской,б-р,,Центральный административный округ,Пресненский район
Тверской,проезд,125009,Центральный административный округ,Тверской район
Театральная,аллея,125167,Северный административный округ,район Аэропорт
Театральная,пл,125009,Центральный административный округ,Тверской район
Театральная,ул,142172,Новомосковский административный округ,поселение Щербинка
Театральный,проезд,109012,Центральный административный округ,Тверской район
Текстильщиков,ул,142191,Троицкий административный округ ,поселение Троицк
Тенистая,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Тенистая,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Тенистая,ул,143396,Троицкий административный округ ,Первомайское поселение
Тенистая,ул,142791,Новомосковский административный округ,Сосенское поселение
Тенистый,проезд,129329,Северо-Восточный административный округ,район Свиблово
Теннисная,ул,143396,Троицкий административный округ ,Первомайское поселение
Теннисная,ул,142191,Троицкий административный округ ,поселение Троицк
Теплая,ул,143344,Троицкий административный округ ,Новофедоровское поселение
Тепличная,ул,142134,Новомосковский административный округ,Рязановское поселение
Тепличный,пер,123298,Северо-Западный административный округ,район Щукино
Теплостанский,проезд,117133,Юго-Западный административный округ,район Теплый Стан
Теплый Стан,ул,,Юго-Западный административный округ,район Теплый Стан
Терехово-2,ул,142140,Северо-Западный административный округ,район Хорошево-Мневники
Терешково,ул,119619,Западный административный округ,район Солнцево
Терлецкий,проезд,111399,Восточный административный округ,район Ивановское
Терновая,ул,142191,Троицкий административный округ ,поселение Троицк
Тессинский,пер,109028,Центральный административный округ,Таганский район
Тестовская,ул,123317,Центральный административный округ,Пресненский район
Тетеринский,пер,109004,Центральный административный округ,Таганский район
Технический,пер,105005,Центральный административный округ,Басманный район
Технический,проезд,143397,Троицкий административный округ ,Первомайское поселение
"ТИЗ ""Русь""",тер,142160,Троицкий административный округ ,Вороновское поселение
ТИЗ Изварино,тер,142750,Западный административный округ,район Внуково
ТИЗ Ново-Внуково,тер,142750,Новомосковский административный округ,Внуковское поселение
Тимирязева,ул,142172,Новомосковский административный округ,поселение Щербинка
Тимирязева,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Тимирязевская,ул,,Северный административный округ,Тимирязевский район
Тимирязевский,проезд,127550,Северный административный округ,Тимирязевский район
Тимура Фрунзе,ул,119034,Центральный административный округ,район Хамовники
Тимуровская,ул,115516,Южный административный округ,район Царицыно
Тимуровская,ул,143340,Троицкий административный округ ,Новофедоровское поселение
Типографская,ул,117623,Юго-Западный административный округ,район Южное Бутово
Титова,ул,107023,Восточный административный округ,район Преображенское
Титовский,проезд,119049,Центральный административный округ,район Якиманка
Тихая,ул,109387,Юго-Восточный административный округ,район Люблино
Тихая,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Тихая,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Тихая,ул,142191,Троицкий административный округ ,поселение Троицк
Тихая,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Тихвинская,ул,127055,Северо-Восточный административный округ,район Марьина роща
Тихвинский,пер,127055,Центральный административный округ,Тверской район
Тихий,туп,109147,Центральный административный округ,Таганский район
Тихомирова,ул,127282,Северо-Восточный административный округ,район Северное Медведково
Тихоновская,ул,142784,Новомосковский административный округ,поселение Московский
Тихоновская,ул,142784,Новомосковский административный округ,Внуковское поселение
Тихорецкий,б-р,109387,Юго-Восточный административный округ,район Люблино
Тишинская,пл,123056,Центральный административный округ,Пресненский район
ТК Молоток,тер,142138,Троицкий административный округ ,Щаповское поселение
Ткацкая,ул,,Восточный административный округ,район Соколиная Гора
ТЛПХ Зона Б,тер,142780,Новомосковский административный округ,Филимонковское поселение
Тобольский,пер,127572,Северо-Восточный административный округ,район Лианозово
Товарищеская,ул,115516,Южный административный округ,район Царицыно
Товарищеский,пер,109004,Центральный административный округ,Таганский район
Токарная,ул,107564,Восточный административный округ,район Богородское
Токмаков,пер,105066,Центральный административный округ,Басманный район
Толбухина,проезд,121596,Западный административный округ,Можайский район
Толбухина,ул,121596,Западный административный округ,Можайский район
Толбухина,ул,142172,Новомосковский административный округ,поселение Щербинка
Толмачевский Ст.,пер,,Центральный административный округ,район Якиманка
Тополевая,аллея,109472,Юго-Восточный административный округ,район Выхино-Жулебино
Тополиная,ул,143391,Новомосковский административный округ,Марушкинское поселение
Тополиная,ул,143391,Новомосковский административный округ,Марушкинское поселение
Тополиная,ул,143391,Новомосковский административный округ,Марушкинское поселение
Тополиная,ул,143391,Новомосковский административный округ,Марушкинское поселение
Торговая,пл,143340,Троицкий административный округ ,Новофедоровское поселение
Торговая,ул,117623,Юго-Западный административный округ,район Южное Бутово
Торговый,туп,142136,Троицкий административный округ ,Кленовское поселение
Тренева,ул,142784,Новомосковский административный округ,Внуковское поселение
Третьего Интернационала,ул,111625,Восточный административный округ,район Косино-Ухтомский
Третьяковский,проезд,109012,Центральный административный округ,Тверской район
Трехгорный Вал,ул,123022,Центральный административный округ,Пресненский район
Трехпрудный,пер,,Центральный административный округ,Тверской район
Трикотажный,проезд,125476,Северо-Западный административный округ,район Южное Тушино
Триумфальная,пл,125047,Центральный административный округ,Тверской район
Трифоновская,ул,,Центральный административный округ,Мещанский район
Трифоновский,туп,129272,Центральный административный округ,Мещанский район
Троекуровский,проезд,121471,Западный административный округ,район Очаково-Матвеевское
Троилинский,пер,119002,Центральный административный округ,район Арбат
Троицкая,ул,129090,Центральный административный округ,Мещанский район
Троицкая,ул,142131,Новомосковский административный округ,Рязановское поселение
Троицкая,ул,143396,Троицкий административный округ ,Первомайское поселение
Троицкая,ул,143397,Троицкий административный округ ,Первомайское поселение
Троицкий,б-р,142191,Троицкий административный округ ,поселение Троицк
Троицкий,проезд,143396,Троицкий административный округ ,Первомайское поселение
Тропаревская,ул,119602,Западный административный округ,район Тропарево-Никулино
Трофимова,ул,115432,Юго-Восточный административный округ,Южнопортовый район
Трубецкая,ул,,Центральный административный округ,район Хамовники
Трубная,пл,127051,Центральный административный округ,Мещанский район
Трубная,ул,,Центральный административный округ,Мещанский район
Трубниковский,пер,,Центральный административный округ,район Арбат
Труда,ул,143390,Новомосковский административный округ,поселение Кокошкино
Трудовая,аллея,125167,Северный административный округ,район Аэропорт
Трудовая,ул,109147,Центральный административный округ,Таганский район
Трудовая,ул,142172,Новомосковский административный округ,поселение Щербинка
Трудовой,пер,142784,Новомосковский административный округ,Внуковское поселение
Трудовой,пер,142784,Новомосковский административный округ,Внуковское поселение
ТСЖ Аист,тер,142171,Новомосковский административный округ,поселение Щербинка
ТСЖ Барыши,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Варварино,тер,142150,Троицкий административный округ ,Краснопахорское поселение
ТСЖ Внуковский,тер,142750,Новомосковский административный округ,Внуковское поселение
ТСЖ Все вместе,тер,142171,Новомосковский административный округ,поселение Щербинка
ТСЖ Городок писателей Переделкино,тер,142784,Центральный административный округ,Тверской район
ТСЖ Девятское,тер,142134,Новомосковский административный округ,Рязановское поселение
ТСЖ Заречное,тер,142140,Троицкий административный округ ,Михайлово-Ярцевское поселение
ТСЖ Индустриальная 6,тер,142170,Новомосковский административный округ,поселение Щербинка
ТСЖ Индустриальный,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Летово-3,ул,142791,Новомосковский административный округ,Сосенское поселение
ТСЖ Наш дом,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Наш дом 1,тер,142150,Троицкий административный округ ,Краснопахорское поселение
ТСЖ НО Виктория,тер,142171,Новомосковский административный округ,поселение Щербинка
ТСЖ Олимпийский,тер,142134,Новомосковский административный округ,Рязановское поселение
ТСЖ ОФЭК,ул,143396,Троицкий административный округ ,Первомайское поселение
ТСЖ Павловы Родники,тер,142150,Троицкий административный округ ,Краснопахорское поселение
ТСЖ Первомайская,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Победа,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Приполярный,тер,143390,Новомосковский административный округ,поселение Кокошкино
ТСЖ Рассказовка,тер,142784,Новомосковский административный округ,Внуковское поселение
ТСЖ Родник,тер,142784,Новомосковский административный округ,поселение Московский
ТСЖ Родник,тер,142784,Новомосковский административный округ,Внуковское поселение
ТСЖ Спортивная 11,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Спортивная 13,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Спортивная 15,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Спортивная 17,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Шелестово,тер,142150,Троицкий административный округ ,Краснопахорское поселение
ТСЖ Щербинка-1,тер,142171,Новомосковский административный округ,поселение Щербинка
ТСЖ Юбилейная 18,тер,142172,Новомосковский административный округ,поселение Щербинка
ТСЖ Южный берег,тер,143390,Новомосковский административный округ,поселение Кокошкино
ТСЖКП ЛеВитан,тер,142144,Центральный административный округ,Тверской район
Тульский,проезд,143344,Троицкий административный округ ,Новофедоровское поселение
Тульский 1-й,пер,115191,Южный административный округ,Даниловский район
Тульский 2-й,пер,115191,Южный административный округ,Донской район
Туманная,ул,142150,Троицкий административный округ ,Краснопахорское поселение
Туманяна,пл,127474,Северный административный округ,Бескудниковский район
Тупик,ул,142191,Троицкий административный округ ,поселение Троицк
Тупиковая,ул,143350,Западный административный округ,район Внуково
Тупиковая,ул,143350,Новомосковский административный округ,Марушкинское поселение
Тургеневская,пл,101000,Центральный административный округ,Красносельский район
Туристская,ул,,Северо-Западный административный округ,район Северное Тушино
Туркменский,проезд,123458,Северо-Западный административный округ,район Строгино
Турчанинов,пер,119034,Центральный административный округ,район Хамовники
Тучковская,ул,121087,Западный административный округ,район Филевский парк
Тушинская,ул,,Северо-Западный административный округ,район Покровское-Стрешнево
Тюльпанная,ул,121357,Западный административный округ,Можайский район
Тюменская,ул,107370,Восточный административный округ,район Преображенское
Тюменский,проезд,107370,Восточный административный округ,район Богородское
Тюменский,проезд,142791,Новомосковский административный округ,Воскресенское поселение
Тюрина,ул,115516,Южный административный округ,район Бирюлево Восточное
Тютчевская,аллея,117321,Юго-Западный административный округ,район Ясенево
Тюфелева Роща,ул,115280,Южный административный округ,Даниловский район
Уваровский,пер,125222,Северо-Западный административный округ,район Митино
Угличская,ул,,Северо-Восточный административный округ,район Лианозово
Угловая,ул,142791,Новомосковский административный округ,Воскресенское поселение
Угловой,пер,127055,Центральный административный округ,Тверской район
Угрешская,ул,115088,Юго-Восточный административный округ,район Печатники
Удальцова,ул,,Западный административный округ,район Проспект Вернадского
Удачная,ул,142712,Новомосковский административный округ,Сосенское поселение
Узкий,пер,129085,Северо-Восточный административный округ,Останкинский район
Украинский,б-р,121059,Западный административный округ,район Дорогомилово
Уланский,пер,,Центральный административный округ,Красносельский район
улица Емельяна Пугачева,ул,143350,Новомосковский административный округ,Марушкинское поселение
улица Полевая,ул,142140,Юго-Западный административный округ,район Южное Бутово
улица Собачкина Сторожка,ул,143381,Троицкий административный округ ,поселение Киевский
улица Чернышевского,ул,124365,Зеленоградский административный округ,район Савелки
Улофа Пальме,ул,119590,Западный административный округ,район Раменки
Ульяновского лесопарка,п,142784,Новомосковский административный округ,Внуковское поселение
